tick,system,action,strategy,tension
0,baseline,investigate,-,-
0,ghost,investigate,pattern,0.01
1,baseline,investigate,-,-
1,ghost,engage,pattern,0.02
2,baseline,investigate,-,-
2,ghost,engage,pattern,0.03
3,baseline,investigate,-,-
3,ghost,engage,pattern,0.04
4,baseline,investigate,-,-
4,ghost,engage,pattern,0.05
5,baseline,investigate,-,-
5,ghost,engage,pattern,0.06
6,baseline,investigate,-,-
6,ghost,engage,pattern,0.07
7,baseline,investigate,-,-
7,ghost,investigate,pattern,0.08
8,baseline,investigate,-,-
8,ghost,engage,pattern,0.09
9,baseline,investigate,-,-
9,ghost,engage,pattern,0.10
10,baseline,investigate,-,-
10,ghost,engage,pattern,0.11
11,baseline,investigate,-,-
11,ghost,engage,pattern,0.12
12,baseline,investigate,-,-
12,ghost,engage,pattern,0.13
13,baseline,investigate,-,-
13,ghost,engage,pattern,0.14
14,baseline,investigate,-,-
14,ghost,investigate,pattern,0.15
15,baseline,investigate,-,-
15,ghost,engage,pattern,0.16
16,baseline,investigate,-,-
16,ghost,engage,pattern,0.17
17,baseline,investigate,-,-
17,ghost,engage,pattern,0.18
18,baseline,investigate,-,-
18,ghost,engage,pattern,0.19
19,baseline,investigate,-,-
19,ghost,engage,pattern,0.20
20,baseline,investigate,-,-
20,ghost,engage,pattern,0.21
21,baseline,investigate,-,-
21,ghost,investigate,pattern,0.22
22,baseline,investigate,-,-
22,ghost,engage,pattern,0.23
23,baseline,investigate,-,-
23,ghost,engage,pattern,0.24
24,baseline,investigate,-,-
24,ghost,engage,pattern,0.25
25,baseline,investigate,-,-
25,ghost,engage,pattern,0.26
26,baseline,investigate,-,-
26,ghost,engage,pattern,0.27
27,baseline,investigate,-,-
27,ghost,engage,pattern,0.28
28,baseline,investigate,-,-
28,ghost,investigate,pattern,0.29
29,baseline,investigate,-,-
29,ghost,engage,pattern,0.30
30,baseline,investigate,-,-
30,ghost,engage,pattern,0.31
31,baseline,investigate,-,-
31,ghost,engage,pattern,0.32
32,baseline,investigate,-,-
32,ghost,engage,pattern,0.33
33,baseline,investigate,-,-
33,ghost,engage,pattern,0.34
34,baseline,investigate,-,-
34,ghost,engage,pattern,0.35
35,baseline,investigate,-,-
35,ghost,investigate,pattern,0.36
36,baseline,investigate,-,-
36,ghost,engage,pattern,0.37
37,baseline,investigate,-,-
37,ghost,engage,pattern,0.38
38,baseline,investigate,-,-
38,ghost,engage,pattern,0.39
39,baseline,investigate,-,-
39,ghost,engage,pattern,0.40
40,baseline,investigate,-,-
40,ghost,engage,pattern,0.41
41,baseline,investigate,-,-
41,ghost,engage,pattern,0.42
42,baseline,investigate,-,-
42,ghost,investigate,pattern,0.43
43,baseline,investigate,-,-
43,ghost,engage,pattern,0.44
44,baseline,investigate,-,-
44,ghost,engage,pattern,0.45
45,baseline,investigate,-,-
45,ghost,engage,pattern,0.46
46,baseline,investigate,-,-
46,ghost,engage,pattern,0.47
47,baseline,investigate,-,-
47,ghost,engage,pattern,0.48
48,baseline,investigate,-,-
48,ghost,engage,pattern,0.49
49,baseline,investigate,-,-
49,ghost,investigate,pattern,0.50
